ResponseId,MainBranch,EdLevel,Employment,YearsCode,DevType,RemoteWork,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,ConvertedCompYearly
5171,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,35.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Perl;PowerShell;SQL;Visual Basic (.Net),H2;Microsoft SQL Server;PostgreSQL,Cloudflare;Docker;Gradle;Kubernetes;MSBuild;npm;Vite,81685.0
5172,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",35.0,"Developer, full-stack",,Canada,Java;Python,Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL,Amazon Web Services (AWS);Chocolatey;Docker;Kubernetes;Maven (build tool);Yarn,54719.0
5173,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,AI/ML engineer,"Hybrid (some in-person, leans heavy to flexibility)",United States of America,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Bun;Cargo;Chocolatey;Docker;Google Cloud;Gradle;Homebrew;Maven (build tool);npm;Pip;Poetry;Vite,140000.0
5174,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,"Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,MySQL;SQLite,,57179.0
5175,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,19.0,"Developer, back-end",Remote,Canada,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,BigQuery;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Datadog;Docker;Homebrew;Kubernetes;npm;Pip;Terraform,135703.0
5176,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14.0,"Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",India,Bash/Shell (all shells);C++;Dart;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,,,46496.0
5177,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",22.0,"Developer, embedded applications or devices",Remote,Poland,Assembly;Bash/Shell (all shells);C;C++;JavaScript;Python,,Docker;Ninja;Pip,100973.0
5178,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,40.0,Data engineer,"Hybrid (some remote, leans heavy to in-person)",United States of America,C#;Python;SQL,Microsoft Access;Microsoft SQL Server;MySQL,Microsoft Azure;MSBuild;npm;NuGet,125000.0
5179,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,Other (please specify):,In-person,South Africa,Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Chocolatey;Composer;Docker;Firebase;Gradle;Heroku;Homebrew;Kubernetes;Microsoft Azure;npm;NuGet;Pip;pnpm,68128.0
5180,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",13.0,"Developer, full-stack",,Poland,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript;VBA,Cassandra;Cloud Firestore;Cosmos DB;Dynamodb;H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Ansible;Docker;Firebase;Google Cloud;Gradle;Heroku;Homebrew;Kubernetes;Make;Maven (build tool);Microsoft Azure;npm;Pip;pnpm;Prometheus;Terraform,117347.0
5181,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,6.0,Student,,Sweden,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL;SQLite,APT;Bun;Cloudflare;Docker;Make;Maven (build tool);npm;Vite,13836.0
5183,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,10.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",Germany,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;SQL;TypeScript,,Amazon Web Services (AWS);Cloudflare;Composer;Docker;Gradle;Make;Maven (build tool);npm;pnpm;Vite;Webpack;Yarn,15082.0
5184,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,30.0,"Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",United States of America,Python,,,360000.0
5186,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",31.0,"Founder, technology or otherwise",,United States of America,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,APT;Cargo;Chocolatey;Cloudflare;Digital Ocean;Docker;Gradle;Homebrew;Pip;pnpm;Vite;Webpack,120000.0
5187,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,24.0,"Developer, full-stack",Remote,Canada,C#;HTML/CSS;JavaScript;PowerShell;SQL,MariaDB;Microsoft SQL Server;MySQL;Redis;SQLite,,102142.0
5188,I am a developer by profession,"Associate degree (A.A., A.S., etc.)",Employed,8.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",France,TypeScript,MongoDB;PostgreSQL;Supabase,Amazon Web Services (AWS);Digital Ocean;Homebrew;Supabase;Vercel;Vite;Yarn,48726.0
5189,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,30.0,"Developer, QA or test",Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,MariaDB;MySQL;PostgreSQL;SQLite,Docker;Homebrew,90000.0
5190,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",10.0,"Founder, technology or otherwise","Hybrid (some remote, leans heavy to in-person)",United States of America,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Homebrew;Netlify;npm;Pip;Poetry;Terraform;Vite;Yarn,100000.0
5191,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,"Developer, full-stack",Remote,Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;TypeScript,PostgreSQL;Redis;SQLite,Datadog;Google Cloud,65533.0
5192,I am a developer by profession,,Employed,8.0,"Developer, desktop or enterprise applications",In-person,Denmark,C#;Delphi;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server,Docker;Microsoft Azure;MSBuild;npm;NuGet,82115.0
5193,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",16.0,"Developer, full-stack",,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PHP;TypeScript,MySQL;SQLite,Digital Ocean;Docker;Microsoft Azure,88220.0
5196,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25.0,"Developer, full-stack",Remote,United States of America,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL,Cloudflare;Composer;Digital Ocean;Docker;Homebrew;Microsoft Azure;Netlify;npm;pnpm;Vercel;Vite;Webpack;Yarn,140000.0
5199,"I used to be a developer by profession, but no longer am","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",30.0,Student,,Denmark,C#;F#;HTML/CSS;Java;Lisp;Prolog;Python,,Microsoft Azure,87091.0
5200,I am a developer by profession,"Associate degree (A.A., A.S., etc.)",Employed,35.0,"Architect, software or solutions",Remote,"Venezuela, Bolivarian Republic of...",Dart;Scala,PostgreSQL;Redis,Docker;Google Cloud;Kubernetes,32000.0
5201,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",United States of America,Bash/Shell (all shells);C#;Delphi;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Dynamodb;Firebase Realtime Database;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Ansible;Docker;Firebase;Google Cloud;Kubernetes;Microsoft Azure;npm;Pip;Yarn,60000.0
5202,I am a developer by profession,"Associate degree (A.A., A.S., etc.)",Employed,35.0,"Developer, embedded applications or devices",In-person,United States of America,C#;C++;Delphi,MySQL;SQLite,,120000.0
5204,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,"Developer, front-end",,United States of America,HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure;npm;Webpack,115000.0
5207,I am a developer by profession,"Associate degree (A.A., A.S., etc.)",Employed,15.0,"Developer, mobile","Hybrid (some remote, leans heavy to in-person)",Colombia,C++;Java;Kotlin;Python;Ruby;Swift,,Docker,76831.0
5209,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",30.0,"Developer, full-stack",,Poland,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Chocolatey;Docker;Microsoft Azure;MSBuild;NuGet;Prometheus,88692.0
5211,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7.0,"Developer, back-end",Remote,United States of America,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,Databricks SQL;Dynamodb;MongoDB,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Make;npm;pnpm;Terraform;Webpack,155000.0
5212,I work with developers or my work supports developers but am not a developer by profession,Some college/university study without earning a degree,Employed,4.0,Database administrator or engineer,"Hybrid (some remote, leans heavy to in-person)",United States of America,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,SQLite,Amazon Web Services (AWS);Cargo;Docker;npm;pnpm,80000.0
5213,I work with developers or my work supports developers but am not a developer by profession,Some college/university study without earning a degree,Employed,20.0,"Developer, front-end",Remote,United States of America,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,,125000.0
5214,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,26.0,Engineering manager,Remote,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Elasticsearch;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Bun;Cargo;Chocolatey;Docker;Firebase;Google Cloud;Heroku;Homebrew;Kubernetes;Make;Maven (build tool);npm;NuGet;Prometheus;Terraform;Vite;Webpack;Yarn,145018.0
5216,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,"Developer, mobile",In-person,Bangladesh,C;C#;C++;Dart;Java,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Firebase;Heroku,6545.0
5217,I am a developer by profession,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,14.0,"Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",Finland,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;Redis;SQLite,Bun;Digital Ocean;Docker;Kubernetes;npm;Vite;Webpack;Yarn,59933.0
5218,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,40.0,"Developer, back-end",Remote,United States of America,Bash/Shell (all shells);Java;Ruby;TypeScript,BigQuery;MariaDB;PostgreSQL,Gradle;Homebrew,140000.0
5220,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,"Developer, back-end",Remote,Italy,Bash/Shell (all shells);Elixir;Go;JavaScript;Python;Rust;TypeScript,Dynamodb;MySQL;PostgreSQL;Redis;Amazon Redshift,Amazon Web Services (AWS);Cargo;Docker;Kubernetes;Terraform,71929.0
5221,I am a developer by profession,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I prefer not to say,25.0,"Architect, software or solutions",,Germany,Java;JavaScript;Python;SQL,Elasticsearch;MariaDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Ansible;Docker;Kubernetes;Microsoft Azure;Pip,254851.0
5223,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,"Developer, front-end",In-person,Netherlands,HTML/CSS;JavaScript;TypeScript,,Docker;Webpack;Yarn,7191.0
5227,I am a developer by profession,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",10.0,"Developer, full-stack",,Czech Republic,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;Zig,MongoDB;MySQL,APT;npm;Pip;Podman;Poetry,46806.0
5229,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",United States of America,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,,56200.0
5230,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,"Developer, QA or test",Remote,United States of America,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;TypeScript,Cosmos DB,Digital Ocean;Docker;Kubernetes;Microsoft Azure,114000.0
5231,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",32.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,H2;MariaDB;MySQL,Amazon Web Services (AWS);Docker;Maven (build tool);npm;Webpack,176984.0
5232,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,"Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",United States of America,Go;Groovy;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript;Gleam,Elasticsearch;MariaDB;PostgreSQL;Supabase,Amazon Web Services (AWS);Ansible;Cargo;Docker;Homebrew;npm;Supabase;Vite,74000.0
5235,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,"Architect, software or solutions",Remote,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Docker;Kubernetes;Microsoft Azure;MSBuild;npm,170000.0
5236,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,18.0,"Developer, full-stack",Remote,United States of America,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Rust;Scala;SQL;TypeScript,Cassandra,Cargo;Docker;Kubernetes;npm;Vite;Webpack;Yarn,149000.0
5237,I am a developer by profession,Primary/elementary school,Employed,10.0,"Developer, back-end",,Bulgaria,Bash/Shell (all shells);Lua;PHP;SQL,MySQL;Redis;SQLite,Composer;Docker,21350.0
5238,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,22.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",United States of America,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,MySQL;PostgreSQL,Amazon Web Services (AWS);Docker;Heroku;npm;pnpm;Supabase;Vercel;Vite;Webpack,140000.0
5239,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13.0,"Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",Mexico,Bash/Shell (all shells);Java;Python;Scala;SQL,PostgreSQL,Docker;Maven (build tool),59278.0
5241,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,18.0,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",Netherlands,Bash/Shell (all shells);GDScript;PHP;Rust;SQL,Elasticsearch;MariaDB;MySQL;Redis;SQLite,Amazon Web Services (AWS);Cargo;Composer;Datadog;Docker;Google Cloud;Kubernetes;Pacman;Prometheus,87011.0
5242,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",Germany,Dart;HTML/CSS;JavaScript;TypeScript,BigQuery;Cloud Firestore,Cloudflare;Docker;Firebase;Google Cloud;Homebrew;Make;Netlify;npm;pnpm;Vercel;Vite;Yarn,104413.0
5244,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,32.0,"Developer, full-stack",Remote,United States of America,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,MariaDB;Microsoft SQL Server;Redis;Valkey,Amazon Web Services (AWS);APT;Chocolatey;Docker;npm;NuGet;Pip,167000.0
5245,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,"Developer, back-end",Remote,United Kingdom of Great Britain and Northern Ireland,Java,Dynamodb;Elasticsearch;MongoDB;MySQL,Docker;Homebrew;Maven (build tool);New Relic;Prometheus;Terraform,99383.0
5246,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,23.0,"Developer, back-end",Remote,Ukraine,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,H2;Oracle;PostgreSQL;Redis;Clickhouse,Amazon Web Services (AWS);Composer;Docker;Heroku;Kubernetes;Maven (build tool);npm;Prometheus,24943.0
5248,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,12.0,"Developer, full-stack",,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,Docker;Homebrew;Microsoft Azure;Netlify;npm;NuGet;pnpm;Vercel;Vite,68071.0
5249,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13.0,"Developer, desktop or enterprise applications","Hybrid (some in-person, leans heavy to flexibility)",United States of America,COBOL;HTML/CSS;JavaScript;SQL;TypeScript,Oracle,,141336.0
5250,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,29.0,"Developer, desktop or enterprise applications",Remote,United States of America,Ada;Bash/Shell (all shells);C;C++;Java;MATLAB;PowerShell;Python;R;SQL,PostgreSQL;SQLite,Amazon Web Services (AWS);Docker;Microsoft Azure,240000.0
5251,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,"Developer, game or graphics","Hybrid (some in-person, leans heavy to flexibility)",Italy,C#;C++;Rust,,,49886.0
5253,I am a developer by profession,Some college/university study without earning a degree,Retired,43.0,Retired,,United Kingdom of Great Britain and Northern Ireland,C#;Java;PowerShell;SQL,Microsoft SQL Server,Microsoft Azure,59902.0
5254,I am a developer by profession,Some college/university study without earning a degree,Employed,15.0,DevOps engineer or professional,Remote,United States of America,Bash/Shell (all shells);PowerShell;Python,,Amazon Web Services (AWS);Ansible;Docker;Kubernetes;npm;NuGet;Pip;Podman;Terraform,185000.0
5256,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",Spain,Bash/Shell (all shells);Go;Java;JavaScript,Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Kubernetes;Maven (build tool);npm,48726.0
5257,I work with developers or my work supports developers but am not a developer by profession,Some college/university study without earning a degree,Employed,4.0,Cloud infrastructure engineer,"Hybrid (some in-person, leans heavy to flexibility)",Poland,Bash/Shell (all shells);Python,,Amazon Web Services (AWS);Docker;Google Cloud;Kubernetes;Microsoft Azure;Pip;Podman;Terraform,65496.0
5258,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Some college/university study without earning a degree,Employed,35.0,Engineering manager,"Hybrid (some in-person, leans heavy to flexibility)",Poland,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Cosmos DB;InfluxDB;MariaDB;Microsoft SQL Server;Redis;SQLite,,6822.0
5260,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,27.0,"Architect, software or solutions",In-person,United Arab Emirates,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;MATLAB;Perl;Python;Ruby;Rust;Mojo,PostgreSQL;Redis,Amazon Web Services (AWS);Ansible;Cargo;Cloudflare;Docker;Homebrew;Make;Ninja;Pacman;Pip;Podman;Prometheus;Terraform,247791.0
5263,I code primarily as a hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,Project manager,"Hybrid (some remote, leans heavy to in-person)",France,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,DuckDB;MariaDB;PostgreSQL;Redis;Snowflake;SQLite,Cargo;Docker;Google Cloud;Homebrew;Pip;pnpm;Poetry;Vite;Yarn,87011.0
5266,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,35.0,"Developer, full-stack",Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,MongoDB,Homebrew;Microsoft Azure;npm,150000.0
5267,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13.0,Other (please specify):,"Hybrid (some in-person, leans heavy to flexibility)",Japan,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,,Ansible;APT;Cargo;Cloudflare;Docker;Make;npm,64736.0
5268,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,"Senior executive (C-suite, VP, etc.)",Remote,India,HTML/CSS;JavaScript;Python;Rust;SQL,MariaDB,Firebase;npm;Pip;Vite,81368.0
5269,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,27.0,"Developer, back-end",Remote,United Kingdom of Great Britain and Northern Ireland,C#;JavaScript;Python;TypeScript,MongoDB;PostgreSQL,Docker;Kubernetes;Microsoft Azure;Podman,95299.0
5271,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,"Developer, full-stack",In-person,United Arab Emirates,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,MongoDB;Redis,Amazon Web Services (AWS);Cloudflare;npm;Vercel;Vite;Webpack;Yarn,32676.0
5274,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,50.0,AI/ML engineer,Remote,United States of America,Bash/Shell (all shells);JavaScript;PowerShell;Python;SQL,Databricks SQL;Dynamodb;Elasticsearch;Neo4J,Amazon Web Services (AWS);Google Cloud;Kubernetes;Poetry;Prometheus,300000.0
5275,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",35.0,"Developer, full-stack",Remote,Canada,C#;F#;HTML/CSS;JavaScript;Scala;SQL,MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,,72958.0
5276,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",Germany,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;Gleam,PostgreSQL,Docker;Maven (build tool);npm;pnpm;Vite;Webpack,99773.0
5277,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,17.0,Cloud infrastructure engineer,In-person,Germany,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Ansible;Docker;Google Cloud;Kubernetes;Make;Microsoft Azure;npm;Pip;Poetry;Terraform;Yarn,109866.0
5278,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",Mexico,HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Ansible;Google Cloud;Maven (build tool);npm;Pip;pnpm;Podman;Vite,89486.0
5279,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13.0,"Developer, back-end",Remote,United States of America,SQL;TypeScript,Dynamodb;PostgreSQL;Redis;Valkey,Amazon Web Services (AWS);Datadog;Docker;pnpm,165000.0
5282,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,"Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",Germany,Bash/Shell (all shells);Kotlin;Python;Swift,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Datadog;Docker;Gradle;Homebrew;Kubernetes;Make;Poetry;Railway,116015.0
5283,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",Mexico,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,BigQuery;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Docker;Firebase;Google Cloud;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Vercel;Vite;Webpack;Yarn,34742.0
5284,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,16.0,Other (please specify):,"Hybrid (some in-person, leans heavy to flexibility)",France,Ada;Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Lisp;Python,,,70769.0
5286,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,"Developer, back-end",Remote,Italy,Lua;PHP;TypeScript,Dynamodb;H2;MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Composer;Datadog;Digital Ocean;Docker;Google Cloud;Homebrew;Kubernetes;npm;Webpack;Yarn,58007.0
5287,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,"Developer, back-end",Remote,United States of America,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;New Relic;Terraform,275000.0
5288,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",Germany,Dart;HTML/CSS;Java;PHP;Python;SQL,MySQL;Redis;SQLite;Supabase;Valkey,,99773.0
5289,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,23.0,Academic researcher,In-person,Switzerland,R,,,123993.0
